Method,label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
sim,YBa2Cu3O7_Cu,17.62,25,29,4,0.22,1.88,6.2,63.546,145
sim,YBa2Cu3O7_O,11.5,0,8,4,0.54,2.39,6.2,15.999,48
sim,YBa2Cu3O7_O,18.8,25,8,4,0.54,2.39,6.2,15.999,48
sim,YBa2Cu3O7_Y,38.97,25,39,8,0.08,2.41,6.2,88.905838,212
sim,YSZ_O,40.0,310,8,4,0.66,2.2,6.21,15.999,48
sim,YSZ_Zr,80.0,310,40,8,0.3,2.2,6.21,91.224,206
sim,ZrC3_C,18.0,300,6,4,0.67,2.21,6.3092,12.011,67
sim,ZrC3_Zr,37.0,300,40,4,0.33,2.21,6.3092,91.224,206
sim,ZrC_C,16.0,300,6,4,0.5,2.21,6.61,12.011,67
sim,ZrC_Zr,37.0,300,40,4,0.5,2.21,6.61,91.224,206
sim,ZrN_N,29.0,50,7,6,0.5,2.29,7.23,14.007,56
sim,ZrN_Zr,33.0,50,40,6,0.5,2.29,7.23,91.224,206
sim,ZrO2_O,23.0,100,8,4,0.67,2.2,6.21,15.999,48
sim,ZrO2_Zr,59.63,100,40,8,0.33,2.2,6.21,91.224,206
sim,ZrSiO4_O,64.42857143,10,8,3,0.666666667,2.01,4.63,15.999,48
sim,ZrSiO4_O,56.0,300,8,3,0.666666667,2.01,4.63,15.999,48
sim,ZrSiO4_Si,53.25,10,14,4,0.166666667,1.62,4.63,28.085,111
sim,ZrSiO4_Si,85.6,300,14,4,0.166666667,1.62,4.63,28.085,111
sim,ZrSiO4_Zr,129.1428571,10,40,8,0.166666667,2.205,4.63,91.224,206
sim,ZrSiO4_Zr,95.0,300,40,8,0.166666667,2.205,4.63,91.224,206
sim,Zr_Zr,55.0,0,40,12,1.0,3.22,6.511,91.224,206
