Material,PKA,Reference,Measurement,Phase,Ed (eV),PKA_Z,PKA_r (A),PKA_m (u),PKA_Stochiometry,PKA_CN,PKA_l (A),Density (g/cm^3),T (K)
Cu,Cu,Gibson_1960,MD,fcc,45.83333333,29,1.4,63.546,1,12,2.53,8.96,NR
Cu,Cu,Bauer_1964,RM,fcc,17.5,29,1.4,63.546,1,12,2.53,8.96,10
Cu,Cu,Kenik_1975,HVEM,fcc,24.66666667,29,1.4,63.546,1,12,2.53,8.96,
Cu,Cu,Corbett_1959,RM,fcc,22,29,1.4,63.546,1,12,2.53,8.96,10
Cu,Cu,Kamada_1964,RM,fcc,29,29,1.4,63.546,1,12,2.53,8.96,10
Cu,Cu,Yoshida_1980,HVEM,fcc,17.5,29,1.4,63.546,1,12,2.53,8.96,70
Cu,Cu,Yoshida_1980,HVEM,fcc,10.5,29,1.4,63.546,1,12,2.53,8.96,550
Cu,Cu,Wollenberger_1965,DR,fcc,15.32,29,1.4,63.546,1,12,2.53,8.96,NR
Cu,Cu,Yang_2021,AIMD,fcc,25,29,1.4,63.546,1,12,2.53,8.96,10
Cu,Cu,Yang_2021,MD,fcc,18,29,1.4,63.546,1,12,2.53,8.96,10
Cu,Cu,ASTME54,MD,fcc,30,29,1.4,63.546,1,12,2.53,8.96,NR
Cu3Au,Cu,Alamo_1983,RM,cubic,24,29,1.4,63.546,0.75,12,2.64,12.35,20
Cu3Au,Au,Alamo_1983,RM,cubic,18,79,1.74,196.96657,0.25,12,2.64,12.35,20
Cu3Au,Cu,Gao_1998,MD,cubic,27,29,1.4,63.546,0.75,12,2.64,12.35,0
Cu3Au,Au ,Gao_1998,MD,cubic,28,79,1.74,196.96657,0.25,12,2.64,12.35,0
CuAu,Cu,Bacon_Deng_1993,MD,tetragonal,47.3,29,1.4,63.546,0.5,8,2.7,14.86,0
CuAu,Au,Bacon_Deng_1993,MD,tetragonal,22,79,1.74,196.96657,0.5,8,2.7,14.86,0
CuAu,Cu,Alamo_1983,RM,tetragonal,24,29,1.4,63.546,0.5,8,2.7,14.86,20
CuAu,Au,Alamo_1983,RM,tetragonal,18,79,1.74,196.96657,0.5,8,2.7,14.86,20
CuTi,Ti,Zhu_1994,MD,TBA,78,22,1.87,47.867,0.5,5,2.6,6.55,NR
CuTi,Cu,Zhu_1994,MD,TBA,47,29,1.4,63.546,0.5,9,2.6,6.55,NR
Er2O3,Er,Kittiratanawasin_2008,MD,cubic,71.5,68,2.26,167.259,0.4,6,2.25,8.89,293
Er2O3,O,Kittiratanawasin_2008,MD,cubic,86.67,8,0.48,15.999,0.6,4,2.25,8.89,293
Fe,Fe,Lucasson_1962,RM,alpha,24,26,1.94,55.845,1,8,2.48,7.874,20
Fe,Fe,Lomer_1967,RM,alpha,25,26,1.94,55.845,1,8,2.48,7.874,25
Fe,Fe,Maury_1976,RM,alpha,22.33333333,26,1.94,55.845,1,8,2.48,7.874,5.5
Fe,Fe,Erginsoy_1964,MD,alpha,29.66666667,26,1.94,55.845,1,8,2.48,7.874,NR
Fe,Fe,Ackland_1997,MD,alpha,38.11538462,26,1.94,55.845,1,8,2.48,7.874,NR
Fe,Fe,Olsson_2016_1,AIMD,alpha,29,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Olsson_2016_2,AIMD,alpha,32,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Olsson_2016_3,MD,alpha,39,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Nordlund_2006_1,MD,alpha,22,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_2,MD,alpha,40,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_3,MD,alpha,45,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_4,MD,alpha,41,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_5,MD,alpha,54,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_6,MD,alpha,37,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_7,MD,alpha,39,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_8,MD,alpha,42,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_9,MD,alpha,33,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_10,MD,alpha,46,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_11,MD,alpha,37,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Nordlund_2006_12,MD,alpha,39,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Björkas_2007_1,MD,alpha,67,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Björkas_2007_2,MD,alpha,35,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Björkas_2007_3,MD,alpha,37,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Björkas_2007_4,MD,alpha,42,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Björkas_2007_5,MD,alpha,40,26,1.94,55.845,1,8,2.48,7.874,0
Fe,Fe,Fu_2018,MD,alpha,30,26,1.94,55.845,1,8,2.48,7.874,300
Fe,Fe,Yang_2021,MD,alpha,18,26,1.94,55.845,1,8,2.48,7.874,10
Fe,Fe,Beeler_2016,MD,alpha,50,26,1.94,55.845,1,8,2.48,7.874,300
Fe,Fe,Beeler_2016,MD,alpha,57,26,1.94,55.845,1,8,2.48,7.874,500
Fe,Fe,Zolnikov_2015,MD,alpha,25,26,1.94,55.845,1,8,2.48,7.874,36
Fe,Fe,Tikhonchev_2017,MD,alpha,39,26,1.94,55.845,1,8,2.48,7.874,NR
Fe0.79Cr0.21,Fe,Fu_2018,MD,TBA,31,26,1.94,55.845,0.79,12,2.43,7.85,300
