label,Ed (eV),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
Y4Zr3O12_O,18.33,8,3,0.63,2.24,5.48,15.999,48
Y4Zr3O12_Y,59.0,39,7,0.21,2.32,5.48,88.905838,212
Y4Zr3O12_Zr,54.5,40,6,0.16,2.21,5.48,91.224,206
YBa2Cu3O7_Ba,39.09,56,10,0.16,2.87,6.2,137.327,253
YBa2Cu3O7_Cu,17.62,29,4,0.22,1.88,6.2,63.546,145
YBa2Cu3O7_O,14.333333333333334,8,4,0.54,2.39,6.2,15.999,48
YBa2Cu3O7_Y,42.485,39,8,0.08,2.41,6.2,88.905838,212
YSZ_O,80.0,8,4,0.66,2.2,6.21,15.999,48
YSZ_Y,80.0,39,8,0.04,2.2,6.21,88.905838,212
YSZ_Zr,80.0,40,8,0.3,2.2,6.21,91.224,206
ZnO_O,54.31666666666666,8,4,0.5,1.97,5.7,15.999,48
ZnO_Zn,41.266666666666666,30,4,0.5,1.97,5.7,65.38,142
ZnS_S,20.2,16,4,0.5,2.33,4.14,32.06,88
ZnS_Zn,9.9,30,4,0.5,2.33,4.14,65.38,142
ZnSe_Se,8.2,34,4,0.5,2.45,5.28,78.971,103
ZnSe_Zn,8.9,30,4,0.5,2.45,5.28,65.38,142
ZnTe_Te,6.7,52,4,0.5,2.65,5.62,127.6,123
ZnTe_Zn,7.175,30,4,0.5,2.65,5.62,65.38,142
Zn_Zn,11.85,30,12,1.0,2.87,7.14,65.38,142
ZrC3_C,18.0,6,4,0.67,2.21,6.3092,12.011,67
ZrC3_Zr,37.0,40,4,0.33,2.21,6.3092,91.224,206
ZrC_C,16.0,6,4,0.5,2.21,6.61,12.011,67
ZrC_Zr,37.0,40,4,0.5,2.21,6.61,91.224,206
ZrN_N,29.0,7,6,0.5,2.29,7.23,14.007,56
ZrN_Zr,33.0,40,6,0.5,2.29,7.23,91.224,206
ZrO2_O,23.0,8,4,0.67,2.2,6.21,15.999,48
ZrO2_Zr,59.63,40,8,0.33,2.2,6.21,91.224,206
ZrSiO4_O,56.78979591857143,8,3,0.666666667,2.01,4.63,15.999,48
ZrSiO4_Si,71.66428571428571,14,4,0.166666667,1.62,4.63,28.085,111
ZrSiO4_Zr,99.22040815714286,40,8,0.166666667,2.205,4.63,91.224,206
Zr_Zr,27.416666666666664,40,12,1.0,3.22,6.511,91.224,206
