Type,label,Ed (eV),T (K),PKA_Z,PKA_CN,PKA_Stochiometry,PKA_l (A),rho (g/cm^3),PKA_m (u),PKA_r (pm)
metal_mono,Mo_Mo,33.0,199,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,37.0,20,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,32.0,246,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,30.0,297,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,39.333333333333336,300,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,38.0,4.2,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,28.0,496,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,27.0,668,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,34.0,69,42,8,1.0,2.74,10.28,95.95,190
metal_mono,Mo_Mo,26.0,800,42,8,1.0,2.74,10.28,95.95,190
metal_mono,NbZr_Nb,28.0,4.5,41,8,1.0,2.87,8.45,92.90637,198
metal_mono,Nb_Nb,36.0,24,41,8,1.0,2.87,8.57,92.90637,198
metal_mono,Nb_Nb,32.0,300,41,8,1.0,2.87,8.57,92.90637,198
metal_mono,Nb_Nb,41.0,50,41,8,1.0,2.87,8.57,92.90637,198
metal_mono,Nb_Nb,39.0,600,41,8,1.0,2.87,8.57,92.90637,198
metal_mono,Ni_Ni,35.0,0,28,12,1.0,2.46,8.908,58.6934,149
metal_mono,Ni_Ni,50.5,10,28,12,1.0,2.46,8.908,58.6934,149
metal_mono,Ni_Ni,24.0,20,28,12,1.0,2.46,8.908,58.6934,149
metal_mono,Ni_Ni,22.0,23,28,12,1.0,2.46,8.908,58.6934,149
metal_mono,Pb_Pb,7.5,8-165,82,12,1.0,3.53,11.34,207.2,154
metal_mono,Pd_Pd,34.0,9,46,12,1.0,2.77,12.023,106.42,169
metal_mono,Sn_Sn,22.0,4.2,50,6,1.0,3.1,7.31,118.71,145
metal_mono,Ta_Ta,60.0,0,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,21.0,105,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,19.0,150,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,19.0,190,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,18.0,279,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,44.5,293,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,18.0,300,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,32.0,4.5,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,45.5,5,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,22.0,51,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Ta_Ta,32.0,6,73,8,1.0,2.87,16.65,180.94788,200
metal_mono,Th_Th,35.0,10,90,12,1.0,3.57,11.724,232.0377,237
metal_mono,Ti_Ti,29.0,0,22,14,1.0,2.99,4.507,47.867,176
metal_mono,Ti_Ti,31.0,100,22,14,1.0,2.99,4.507,47.867,176
metal_mono,Ti_Ti,19.0,293,22,14,1.0,2.99,4.507,47.867,176
metal_mono,U1_U,71.0,300,92,8,1.0,2.48,19.05,238.02891,240
metal_mono,U1_U,66.3,600,92,8,1.0,2.48,19.05,238.02891,240
metal_mono,U2_U,51.96666666666667,800,92,8,1.0,2.9,21.15,238.02891,240
metal_mono,VZr_V,25.0,4.5,23,8,1.0,2.58,6.38,50.9415,171
metal_mono,V_V,26.0,20,23,8,1.0,2.58,6.11,50.9415,171
metal_mono,V_V,34.33,293,23,8,1.0,2.58,6.11,50.9415,171
metal_mono,V_V,29.276666666666667,300,23,8,1.0,2.58,6.11,50.9415,171
metal_mono,W_W,53.666666666666664,10,74,8,1.0,2.75,19.25,183.84,193
metal_mono,W_W,67.5,30,74,8,1.0,2.75,19.25,183.84,193
metal_mono,W_W,40.0,4,74,8,1.0,2.75,19.25,183.84,193
metal_mono,Zn_Zn,14.5,5,30,12,1.0,2.87,7.14,65.38,142
metal_mono,Zr_Zr,55.0,0,40,12,1.0,3.22,6.511,91.224,206
